Наименование товара,ID Маркетплейс,Артикул поставщика,Мерчант,Описание,Торговая марка (бренд),Штрих-код,"Размеры в упаковке: ширина, мм","Размеры в упаковке: длина, мм","Размеры в упаковке: высота, мм","Вес в упаковке, кг",Страна-производитель,Короткое название для чека,Название для листинга,Название для сайта,ID Товара в ERP мерчанта,Дизайн,Вес без упаковки (кг),Материал основы,Материал верха,Влагостойкость,Рельеф,Назначение,Тип клея,Марка,Подбор рисунка,Цвет,Высота рисунка (см),Ширина рисунка (см)
"Юрский период 036-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000354,036-13-DE,ООО РЕГИОНПРОЕКТ,"<p>ФотоОбои dECOcode «Юрский период» 036-13-DE с виниловым покрытием и флизелиновой основой ложатся без усадки, сохраняют форму и обладают устойчивостью к повреждениям. Фрагменты изображения хорошо стыкуются между собой, благодаря фактуре скрывают неровности стен. При создании полотна компания «Регион Проект» применяет современную технологию печати, позволяющую получать качественные четкие рисунки, которые остаются яркими под лучами солнца. Матовая поверхность препятствует возникновению бликов и отталкивает влагу, поэтому ее можно протирать губкой, смоченной в воде без добавления бытовых средств, предназначенных для чистки.</p>",Регион проект,4627126674647,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 036-13-DE,Фотообои DECOCODE Юрский период 036-13-DE,"Фотообои «Юрский период», флизелиновые, 130х250 см, 90000354",95268d88-37d5-11e8-248f-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Снежные вершины 058-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000375,058-13-DE,ООО РЕГИОНПРОЕКТ,"ФотоОбои на флизелиновой основе «Снежные вершины» станут яркой деталью интерьера вашей спальни или гостиной. Для идеального результата фрагменты фотопанно нужно склеить «встык», что очень легко сделать благодаря высокому качеству нарезки листов. Виниловое покрытие в сочетании с ярким рисунком сделает все неровности на ваших стенах незаметными.

Преимущества фотообоев «Снежные вершины» от фабрики «Регион Проект»:

● простота наклеивания и демонтажа благодаря флизелиновой основе — фотоОбои легко наклеиваются, а снимаются цельными листами;
● виниловое покрытие защищает яркий принт от выгорания на солнце;
● фотопанно изготовлено из гипоаллергенных и безопасных материалов;
● качественная фотопечать, передающая мельчайшие нюансы.",Регион проект,4627126674944,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 058-13-DE,Фотообои DECOCODE Снежные вершины 058-13-DE,"Фотообои «Снежные вершины», флизелиновые, 130х250 см, 90000375",503cf424-37de-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Райское утро 048-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000366,048-13-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Райское утро» 048-13-DE бренда «Регион Проект» на флизелиновой основе отличаются высокой прочностью, гладкостью и стойкостью к механическим повреждениям. Они сохраняет форму и целостность при высыхании, легко клеятся и остаются насыщенными цветом под воздействием прямых солнечных лучей. Яркий, четкий рисунок будет виден в мельчайших деталях за счет матовой антибликовой поверхности. Благодаря современной технологии печати Обои можно мыть влажной губкой с применением привычных бытовых средств. Фактурное полотно способно визуально скрыть шероховатости и мелкие трещины на стенах.</p>",Регион проект,4627126674838,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 048-13-DE,Фотообои DECOCODE Райское утро 048-13-DE,"Фотообои «Райское утро», флизелиновые, 130х250 см, 90000366",fb6b0f0e-37dc-11e8-248f-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Нео 003-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000294,003-26-DE,ООО РЕГИОНПРОЕКТ,"<p>Фотообои Decocode «Нео» 003-26-DE бренда «Регион проект» изготовлены с использованием высокоточной печати на современном оборудовании, поэтому рисунок остется ярким на солнце, а материал устойчив к механическому воздействию. Полотно фактурное, матовое, плотное, сохраняет форму, его можно сразу клеить на стены с малозаметными дефектами на поверхности. Обои не нуждаются в предварительной пропитке клеем. Изображение легко стыкуется в процессе нанесения без зазоров. Для максимально бережной транспортировки рулон упакован в индивидуальную ударопрочную тубу. Полотно легко очищается влажной мягкой тканью или губкой без применения моющих средств.</p><p></p>",Регион проект,4627126674128,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 003-26-DE,Фотообои DECOCODE Нео 003-26-DE,"Фотообои «Нео», флизелиновые, 260х250 см, 90000294",a32f7ed0-3703-11e8-6985-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Тайный сад Фотообои DECOCODE холст 32-0039-HH (1),90000615,32-0039-HH,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Тайный сад» с крупным цветочным рисунком выполнены с рельефом, напоминающим холст. Изображение крупного предмета на заднем плане визуально расширит пространство помещения. В сочетании с другими материалами и элементами декора полотно оптимально подойдет для оформления гостиной, спальни, холла.
Выполненные на флизелиновой основе с виниловым покрытием, Обои «Тайный сад» фабрики «Регион проект» обладают рядом преимуществ:
• Плотные и прочные, устойчивы к механическому воздействию.
• Просты в уходе: могут подвергаться влажной уборке с моющими средствами.
• Устойчивы к выгоранию.
• После нанесения на стену сохраняют форму.",Регион проект,4627126671370,100,100,1000,2.2,Россия,Фотообои DECOCODE 32-0039-HH,Фотообои DECOCODE 32-0039-HH,"Фотообои «Тайный сад», виниловые, 300х200 м, 90000615",7f86cb34-15e7-11e7-7c82-52ffaa000002,,,,,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Весеннее настроение 022-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000329,022-26-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Весеннее настроение» 022-26-DE бренда «Регион Проект» с ярким красочным принтом подойдут для декора спальни, гостиной, а также кухни или прихожей. Особая текстура покрытия визуально исправляет недостатки ремонта, в том числе незначительные неровности, трещины и шероховатости. Флизелиновая основа обладает высокой плотностью и гладкостью, что дает возможность не тратить время на пропитку клеем. Полотно сохраняет текстуру и форму под воздействием изменений температуры и влажности, а также цвет под прямыми солнечными лучами. Материал прост в уходе: его можно очищать и мыть влажной губкой с использованием бытовой химии.</p>",Регион проект,4627126674692,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 022-26-DE,Фотообои DECOCODE Весеннее настроение 022-26-DE,"Фотообои «Весеннее настроение», флизелиновые, 260х250 см, 90000329",2376f6ee-370a-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,,dECOcode,,,,
"Парижский дождь 023-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000331,023-26-DE,ООО РЕГИОНПРОЕКТ,"<p>Флизелиновые фотоОбои Decocode «Парижский дождь» 023-26-DE бренда «Регион проект» легко клеятся даже на неровные и шероховатые стены. Полотно имеет виниловое покрытие, плотное и устойчивое к истиранию, сохраняет форму и отталкивает влагу. За поверхностью легко ухаживать, достаточно протереть ее влажной тканью или губкой при уборке. Рисунок устойчив в прямым солнечным лучам, годами сохраняет яркость. Для оптимального результата нанесите обойный клей на стену валиком с мелким ворсом, подождите 2 минуты и приступайте к наклеиванию полотна. В течение первых суток избегайте сквозняка в помещении.<p>",Регион проект,4627126674715,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 023-26-DE,Фотообои DECOCODE Парижский дождь 023-26-DE,"Фотообои «Парижский дождь», флизелиновые, 260х250 см, 90000331",66cf1ab6-370a-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
В саду Фотообои DECOCODE 31-0269-PG (1),90000593,31-0269-PG,ООО РЕГИОНПРОЕКТ,"Буйство красок на фотообоях «В саду» смягчено оттенками натурального дерева на переднем плане. Если повторить их в интерьере, а логичнее всего сделать это с деревянной мебелью, то более мелкие детали могут быть тоже насыщенных ярких цветов. ФотоОбои «В саду» фабрики «Регион проект» прослужат долго, так как характеризуются:
• устойчивостью к механическим повреждениям;
• устойчивостью к температурным перепадам и свету;
• сохранением формы и красок;
• простотой в уходе.",Регион проект,4627087327248,100,100,1000,2.2,Россия,Фотообои DECOCODE 31-0269-PG,Фотообои DECOCODE 31-0269-PG,"Фотообои «В саду», виниловые, 300х280 см, 90000593",0bbe32ad-0850-11e5-bb61-5404a6d27925,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Идеальное утро 049-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000367,049-13-DE,ООО РЕГИОНПРОЕКТ,"Флизелиновые Обои «Идеальное утро» украсят интерьер спальни в классическом или современном стиле. Рисунок подойдет и для других комнат в квартире. С помощью такого покрытия можно визуально углубить пространство, расставить акценты. Поверхность гладкая, приятная на ощупь. Обои клеятся быстро и с минимальным расходом клея, так как его нужно наносить только на стену. А еще у флизелиновых фотообоев «Идеальное утро» от фабрики «Регион проект» такие преимущества:
• прочность;
• долговечность;
• переносят сухую и влажную уборку;
• легкость демонтажа (снимаются целыми полотнами).",Регион проект,4627126674845,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 049-13-DE,Фотообои DECOCODE Идеальное утро 049-13-DE,"Фотообои «Идеальное утро», флизелиновые, 130х250 см, 90000367",259c599a-37dd-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Лесной олень Фотообои DECOCODE 32-0006-PG (1),90000604,32-0006-PG,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Лесной олень» хорошо подходят для оформления интерьера спален и других помещений в спокойных тонах. Рисунок позволяет создать приятную атмосферу и представить себя в тихом лесу среди дикой природы. Матовая поверхность с текстурой вельвета не дает блики на солнце, позволяя детально рассмотреть рисунок под разным углом.
Среди преимуществ виниловых фотообоев на флизелиновой основе «Лесной олень» от фабрики «Регион проект» можно выделить:
• Легкий и быстрый процесс монтажа благодаря прочности полотна.
• ФотоОбои скрывают мелкие недостатки стен.
• Рисунок сохраняет яркость на солнце, сохраняя яркость и четкость.
• Отталкивает влагу – поверхность можно аккуратно протирать смоченной губкой без чистящих средств.",Регион проект,4627126670694,100,100,1000,8.8,Россия,Фотообои DECOCODE 32-0006-PG,Фотообои DECOCODE 32-0006-PG,"Фотообои «Лесной олень», виниловые, 300х200 см, 90000604",073bdb44-afbf-11e6-078a-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
